archive,url,rows,checksum,checksum_verified
BTCUSDT-1d-2025-10.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2025-10.zip,31,f3db8b3c74aa33a09f5a7af1521652039e031cdd52e2d9dae542911cb6ce8e68,true
BTCUSDT-1d-2025-11.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2025-11.zip,30,606b497e9d4ad7b67d2c44482c4a8c136f528a82b4585b1f1a0ecc79a4989165,true
BTCUSDT-1d-2025-12.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2025-12.zip,31,40484d66317a3c7c73e438f8243faf23e041863debdb9e4f523b00156f9dd8d2,true
BTCUSDT-1d-2026-01.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2026-01.zip,31,6ea7e8767031806d4ecc17581af562e49f4f223b7db45cbb4e44c078f4f39635,true
BTCUSDT-1d-2026-02.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2026-02.zip,28,dc4ac6372ec3684e39887b4fd9f9b005da82b285badf56b28ebcc5455590fe37,true
BTCUSDT-1d-2026-03.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2026-03.zip,31,6e6f14c60e723f9c9d1e87d00df0553e6f2e8813c67154101884e1d93e017e48,true
BTCUSDT-1d-2026-04.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2026-04.zip,30,3860febfca089675b86fd50df54a2da0a7980de1331e5b42e1df0210240ae12d,true
BTCUSDT-1d-2026-05.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2026-05.zip,31,91d2e45e3bb4994c849ac56a089da18575b4d01ba1a9f4cff5d3fbbc27b7e9cc,true
BTCUSDT-1d-2026-06.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1d/BTCUSDT-1d-2026-06.zip,30,916bc1d543aceb81184584da93d202cccaab5e21eb4e789996af35e6846de668,true
BTCUSDT-1d-2026-07-01.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-01.zip,1,96fcd0739c4461d3cd2e0d9e34bf25831846abc1fa20eb78c918440d44eecb84,true
BTCUSDT-1d-2026-07-02.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-02.zip,1,a75bcd34ed526ca6e801c01d1bd5ce55ef741c7c63fda80b10ec1ab0520a3d61,true
BTCUSDT-1d-2026-07-03.zip,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/1d/BTCUSDT-1d-2026-07-03.zip,1,3ab9542e6013804fb95bdfeba8f3575aa066967851389f54ad6be8b81922d88a,true
