rule_id,n,win_rate,n_wins,mean_net_pct,median_net_pct,sd_net_pct,worst_net_pct,total_net_pct,mean_gross_pct,median_hold_s,p90_hold_s,stop_rate,timeout_rate,t_stat,enough_wins
E4_60s,361,0.9916897506925207,358,1.5060678348470116,1.545824519310189,0.4217894291418177,-0.7138707474331145,543.6904883797712,2.033171215586602,60.0,60.0,0.008310249307479225,0.0,67.84259368546654,true
E3_20,361,0.8725761772853186,315,1.0799817389935251,1.3169869752084935,0.7692916116369102,-0.6977178451060424,389.87340777666253,1.6070851197331153,55.0,61.0,0.002770083102493075,0.0,26.673439214051683,true
E3_30,361,0.7368421052631579,266,0.500151727563468,0.33296584579800526,0.6657414210134497,-0.6977178451060424,180.55477365041196,1.0272551083030583,15.0,56.0,0.002770083102493075,0.0,14.274134857404208,true
E2,361,0.6204986149584487,224,0.19431825259996846,0.11899110385380013,0.4745813149252034,-0.5665314110293616,70.14888918858861,0.7214216333395587,11.0,27.0,0.0,0.0,7.779587361085397,true
E3_50,361,0.6011080332409973,217,0.08388389522692564,0.09829345138205181,0.27331774876347853,-0.6977178451060424,30.282086176920156,0.6109872759665159,11.0,15.0,0.002770083102493075,0.0,5.831286173408414,true
E1_20,361,0.1634349030470914,59,-0.21078369635325236,-0.19688885641608386,0.19514383750394898,-0.6389291059260596,-76.0929143835241,0.31631968438633795,4.0,6.0,0.0,0.0,-20.522760451663,true
E5_20,361,0.16066481994459833,58,-0.21162803335943303,-0.19688885641608386,0.19523922582792927,-0.6389291059260596,-76.39772004275532,0.3154753473801572,4.0,6.0,0.0,0.0,-20.594901545927083,true
E1_30,361,0.1329639889196676,48,-0.22897067376690253,-0.21641168120996127,0.19221939186234788,-0.6389291059260596,-82.65841322985182,0.29813270697268773,3.0,6.0,0.0,0.0,-22.632694648657438,true
E5_30,361,0.13019390581717452,47,-0.22914816130940316,-0.21641168120996127,0.19198146002834912,-0.6389291059260596,-82.72248623269454,0.29795521943018716,3.0,6.0,0.0,0.0,-22.67831000053729,true
E1_50,361,0.1329639889196676,48,-0.22935480637258301,-0.21641168120996127,0.19234269915454807,-0.6389291059260596,-82.79708510050247,0.2977485743670073,3.0,6.0,0.0,0.0,-22.65613064719247,true
E5_50,361,0.13019390581717452,47,-0.2295322939150836,-0.21641168120996127,0.19210456415313906,-0.6389291059260596,-82.86115810334518,0.29757108682450667,3.0,6.0,0.0,0.0,-22.70176975550701,true
